Action Date,Action Id,Brand,Event Type,Status,Sale Amount,Action Earnings,Promo Code,SharedId
2025-08-28 10:43:19,M.15608.6448.1287190,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-08-28 06:52:51,M.15608.6448.1136335,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,84.95,15.2900,SAHS15,
2025-08-28 05:10:20,M.15608.6448.1035011,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,58.23,10.4800,SAHS,
2025-08-28 05:03:29,M.15608.6448.1029628,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,55.00,9.9000,SAHS15,
2025-08-28 03:18:21,M.15608.6448.917357,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,119.96,21.5900,SAHS,
2025-08-28 01:09:10,M.15608.6448.773073,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,63.13,11.3600,SAHS,
2025-08-28 00:45:11,M.15608.6448.748941,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,52.08,9.3700,SAHS,
2025-08-27 20:56:31,M.15608.6448.454828,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,54.99,9.9000,SAHS15,
2025-08-27 20:25:03,M.15608.6448.403483,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,45.77,4.5800,D26,
2025-08-27 19:17:29,M.15608.6448.321293,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,47.35,8.5200,SAHS,
2025-08-27 19:08:11,M.15608.6448.313044,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-08-27 17:36:44,M.15608.6448.215299,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,44.72,8.0500,SAHS15,
2025-08-27 14:55:37,M.15608.6448.61689,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,63.13,6.3100,D39,
2025-08-27 11:28:16,M.15608.6447.1344496,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,28.41,2.8400,SAHS,
2025-08-27 05:06:15,M.15608.6447.1041000,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,22.70,4.0900,SAHS,
2025-08-27 04:22:42,M.15608.6447.994430,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,280.93,28.0900,D35,
2025-08-27 01:50:07,M.15608.6447.786712,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.48,19.8900,SAHS,
2025-08-26 22:57:13,M.15608.6447.616683,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.31,19.8600,SAHS15,
