id,offer name,code,payout,revenue,sale amount,expected ratio revenue,expected ratio sale,expected payout fixed,match method,matched or not
14750,Noon Egypt,ap8,0.26,0.3,5.97,0.8666666666666667,0.043551088777219436,0.26,revenue,matched
14757,Noon Egypt,bm2,0.56,0.7,22.58,0.8000000000000002,0.02480070859167405,0.56,revenue,matched
6936,Noon Egypt,bm5,0.24,0.3,7.18,0.8,0.033426183844011144,0.24,revenue,matched
6919,Noon Egypt,br65,0.24,0.3,12.56,0.8,0.01910828025477707,0.24,revenue,matched
14540,Noon Egypt,byu,1.17,1.3,28.16,0.8999999999999999,0.04154829545454545,1.17,revenue,matched
7227,Noon Egypt,caf88,0.24,0.3,5.99,0.8,0.04006677796327212,0.24,revenue,matched
7227,Noon Egypt,caf99,0.84,1.0,21.87,0.8285714285714286,0.03715406613522515,0.42,sale,matched
14757,Noon Egypt,czm7,3.4,4.25,87.68,0.7999999999999999,0.03877737226277372,3.4,revenue,matched
14757,Noon Egypt,dccv,4.97,5.95,140.82,0.8000000000000002,0.03198172472872644,0.56,"mixed (revenue, sale)",matched
14672,Noon Egypt,dd51,6.08,7.6000000000000005,154.25,0.8,0.042044911610129,0.4,revenue,matched
6947,Noon Egypt,dd52,0.56,0.7,16.19,0.8000000000000002,0.034589252625077206,0.56,revenue,matched
6947,Noon Egypt,dd53,0.24,0.3,11.83,0.8,0.02028740490278952,0.24,revenue,matched
14659,Noon Egypt,dd57,0.24,0.3,4.74,0.8,0.05063291139240506,0.24,revenue,matched
6603,Noon Egypt,dd58,1.52,1.9,53.35,0.8,0.028605482717520857,0.24,revenue,matched
6736,Noon Egypt,dd59,0.96,1.2,35.71,0.8,0.030379941547454235,0.24,revenue,matched
12553,Noon Egypt,dd62,0.24,0.3,7.37,0.8,0.032564450474898234,0.24,revenue,matched
6736,Noon Egypt,dd63,31.36,39.2,860.37,0.8,0.03508771929824561,0.56,revenue,matched
663,Noon Egypt,dd65,2.8,3.5,75.36,0.8,0.035062404386275337,0.4,revenue,matched
14025,Noon Egypt,dd67,0.56,0.7,16.15,0.8000000000000002,0.034674922600619204,0.56,revenue,matched
6936,Noon Egypt,dd68,5.52,6.9,174.22,0.8,0.032859399684044235,0.24,revenue,matched
6827,Noon Egypt,dd75,7.2,9.0,229.28,0.8,0.033373063170441,0.24,revenue,matched
6827,Noon Egypt,dd76,4.24,5.3,125.62,0.8,0.0347245409015025,0.56,revenue,matched
6121,Noon Egypt,dd78,7.16,8.95,217.66,0.8,0.031623840241396105,0.56,revenue,matched
6121,Noon Egypt,dd79,0.24,0.3,11.34,0.8,0.021164021164021163,0.24,revenue,matched
6121,Noon Egypt,dd81,0.48,0.6,11.85,0.8,0.0405340691416583,0.24,revenue,matched
14646,Noon Egypt,dd82,0.8,1.0,24.5,0.8,0.03283788260793882,0.4,revenue,matched
6121,Noon Egypt,dd83,2.8,3.5,97.99,0.8,0.026229508196721308,0.24,revenue,matched
6727,Noon Egypt,dd84,1.76,2.2,57.58,0.8,0.02771732172577135,0.24,revenue,matched
6706,Noon Egypt,dd85,602.6800000000001,706.2,17001.3,0.8666666666666667,0.03325272067714632,0.26,"mixed (revenue, sale)",not matched
6706,Noon Egypt,dd86,658.59,772.65,19821.72,0.8666666666666667,0.03340757238307349,0.26,"mixed (revenue, sale)",not matched
6706,Noon Egypt,dd87,218.66,256.4,6995.86,0.8666666666666667,0.03411028993746447,0.26,"mixed (revenue, sale)",not matched
11045,Noon Egypt,dd89,7.119999999999999,8.9,178.31,0.8,0.03261949421372212,0.64,revenue,matched
6947,Noon Egypt,dg2t,0.24,0.3,11.94,0.8,0.020100502512562814,0.24,revenue,matched
14536,Noon Egypt,dg2x,47.6,59.5,1711.6399999999999,0.8,0.030584526083915355,0.4,revenue,matched
6919,Noon Egypt,dg3f,3.4,4.25,75.08,0.7999999999999999,0.045285029302077784,3.4,revenue,matched
6678,Noon Egypt,dx9,1.6800000000000002,2.0999999999999996,54.96,0.8000000000000002,0.030270270270270273,0.56,revenue,matched
14757,Noon Egypt,dz2g,9.18,11.4,250.72,0.8,0.028491262941966057,0.25,"mixed (fixed, revenue, sale)",matched
14757,Noon Egypt,dz3z,7.7,9.6,206.82,0.8,0.040419743490089394,0.56,"mixed (revenue, sale)",matched
14757,Noon Egypt,dz6b,3.8600000000000003,4.75,100.3,0.8333333333333334,0.03944545949165129,0.26,"mixed (fixed, sale)",matched
14757,Noon Egypt,dz6s,2.1,2.5999999999999996,66.62,0.8,0.02943678339942732,0.25,"mixed (revenue, sale)",matched
14536,Noon Egypt,dzg3,12.68,15.85,376.63,0.8,0.03227034421287843,0.24,revenue,matched
