Order Date,customer_flag,Order Id,Coupon,country,Order Value (AED),Payout (AED)
"Aug 19, 2025",Existing Orders,13000054847,Z50,KWT,307.98656,30.798656
"Aug 19, 2025",New Orders,7000507079,D8,UAE,102.878832,10.287883200000001
"Aug 18, 2025",Existing Orders,3011159791,R199,KSA,79.0174,7.90174
"Aug 19, 2025",Existing Orders,3011161051,ZF,KSA,184.093,18.409299999999998
"Aug 3, 2025",Existing Orders,3011080713,R199,KSA,26.0288,2.6028800000000003
"Aug 3, 2025",Existing Orders,3011082907,R199,KSA,254.1728,25.41728
"Aug 3, 2025",Existing Orders,3011081865,R188,KSA,39.837,3.9837000000000007
"Aug 8, 2025",Existing Orders,3011105247,R188,KSA,36.064,3.6064000000000003
"Aug 8, 2025",Existing Orders,3011107057,R199,KSA,101.1556,10.115560000000002
"Aug 8, 2025",Existing Orders,3011108593,R199,KSA,140.0028,14.000280000000002
"Aug 8, 2025",Existing Orders,3011106723,R199,KSA,331.5046,33.15046
"Aug 8, 2025",Existing Orders,3011105215,R199,KSA,74.9406,7.494060000000001
"Aug 8, 2025",Existing Orders,3011106135,ZF,KSA,13.72,1.372
"Aug 10, 2025",Existing Orders,3011118175,ZF,KSA,655.6984,65.56984
"Aug 10, 2025",Existing Orders,3011116727,R199,KSA,89.0526,8.90526
"Aug 15, 2025",New Orders,3011142529,R18,KSA,192.8542,19.285420000000002
"Aug 15, 2025",Existing Orders,3011143581,R199,KSA,153.7914,15.379140000000001
"Aug 15, 2025",Existing Orders,3011141825,R199,KSA,263.3456,26.33456
"Aug 15, 2025",Existing Orders,3011141617,Z47,KSA,158.221,15.8221
"Aug 15, 2025",Existing Orders,3011144531,R199,KSA,100.646,10.0646
"Aug 15, 2025",New Orders,3011141701,R199,KSA,110.054,11.005400000000002
"Aug 23, 2025",Existing Orders,3011182377,ZF,KSA,390.6476,39.06476000000001
"Aug 23, 2025",New Orders,3011179325,ZF,KSA,106.428,10.642800000000001
"Aug 22, 2025",Existing Orders,3011176227,Z50,KSA,145.8044,14.58044
"Aug 22, 2025",Existing Orders,3011178789,ZF,KSA,180.3886,18.03886
"Aug 22, 2025",Existing Orders,3011175105,ZF,KSA,224.2534,22.425340000000002
"Aug 22, 2025",New Orders,3011176951,R18,KSA,84.77,8.477
