0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 Philly Cheesesteak [1 Regular],1 Mushroom Chicken Alfredo [1 Regular ],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],1 Chipotle Mayo,1 Honey Mustard,1 Classic Cheese Steak [1 Large],1 Mushroom Chicken Alfredo [1 Regular ],,,,,,,,,,,,,,
1 Combo 1  [1 Philly Steak,1 Chicken Mushroom,1 Matrix Cola,1 Matrix Sprite],,,,,,,,,,,,,,,
1 Mac and Cheese,1 Classic Cheese Steak [1 Large],1 Hot Dog [1 Cheese Whiz,1 Ketchup,1 American Mustrad,1 Relish,1 Diced Tomatoes ],,,,,,,,,,,,
1 Crispy Lava  [1 Regular ],,,,,,,,,,,,,,,,,,
1 Chicken Philly  [1 Regular ],1 French Fries,,,,,,,,,,,,,,,,,
2 Mushrooms Cheesesteak [1 Regular ],,,,,,,,,,,,,,,,,,
1 Chicken Strips [1 Cheese Whiz],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],,,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Cheesy Fest (150g) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Chicken Philly  [1 Regular],,,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Regular ],1 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Chicken Philly  [1 Large],1 Miami Chicken [1 Large],1 Mushroom Chicken Alfredo [1 Large],1 Philly Cheesesteak [1 Large],,,,,,,,,,,,,,,
1 Mac and Cheese,1 Philly Cheesesteak [1 Regular],1 Curly Fries,,,,,,,,,,,,,,,,
1 Cheesy Fest (150g) [1 Honey Mustard],1 Magic Mushrooms (150g) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Chipotle Mayo,1 Drink with Fries ],,,,,,,,,,,,,,,,,
2 Mac and Cheese,2 Curly Fries,,,,,,,,,,,,,,,,,
1 Crispy Cream [1 Regular],1 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Miami Chicken [1 Regular ],1 Mac and Cheese,1 Matrix Sprite,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Mushroom Chicken Alfredo [1 Regular],,,,,,,,,,,,,,,,,
1 Shawerma Steak [1 Large],1 Onion Rings,1 Mozzarella Sticks,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Regular],1 Mac and Cheese,1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,
1 Hot Dog [1 Shredded Cheedar,1 American Mustrad,1 Honey Mustard,1 Shredded Lettuce,1 Crushed potato Chips,1 Drink with Curly Fries],1 Mozzarella Sticks,,,,,,,,,,,,
