Order Date,Order ID,Coupon Code,Customer Type,Order Country,Channels,Gender,Brand,Category,Gross Revenue
"Aug 8, 2025, 12:05:56 AM",APPORKSA80034007588457,KYF,NEW,Saudi Arabia,App,WOMEN,ASICS,SNEAKERS,567.03
"Aug 8, 2025, 12:05:33 AM",APPORKSA80034007582596,KYT,NEW,Saudi Arabia,App,WOMEN,NEW BALANCE,SNEAKERS,482.74
"Aug 7, 2025, 11:51:22 PM",APPENKSA80033007538688,KYT,Returning,Saudi Arabia,App,WOMEN,UGG,FLAT SHOES,490.41
"Aug 7, 2025, 11:51:22 PM",APPENKSA80033007538688,KYT,Returning,Saudi Arabia,App,WOMEN,THE LLINE,FLAT SHOES,727.95
"Aug 7, 2025, 10:21:52 PM",APPENKSA80033007587956,DH33,NEW,Saudi Arabia,App,MEN,SCAROSSO,LOAFERS,2252.78
"Aug 7, 2025, 10:11:10 PM",APPENKSA80033007554443,DH135,Returning,Saudi Arabia,App,WOMEN,BIRKENSTOCK,SANDALS,214.55
"Aug 7, 2025, 8:42:47 PM",APPORKSA80034007573535,KYF,NEW,Saudi Arabia,App,UNISEX,ADIDAS,SNEAKERS,206.89
"Aug 7, 2025, 8:11:04 PM",APPORKSA80034007552216,KYF,Returning,Saudi Arabia,App,UNISEX,NEW BALANCE,BAGS,107.28
"Aug 7, 2025, 7:03:42 PM",APPENKSA80033007587010,DH135,Returning,Saudi Arabia,App,WOMEN,GOLDEN GOOSE,SNEAKERS,2137.86
"Aug 7, 2025, 6:11:23 PM",APPORKSA80034007375176,DH40,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",NEW BALANCE,SNEAKERS,559.36
"Aug 7, 2025, 5:12:26 PM",APPORKSA80034007572125,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ADIDAS,SNEAKERS,429.1
"Aug 7, 2025, 4:10:51 PM",APPENUAE80031007576537,KYF,NEW,United Arab Emirates,App,WOMEN,JACQUEMUS,SHOULDER BAGS,3291.43
"Aug 7, 2025, 4:10:48 PM",APPORKSA80034007586327,KYF,Returning,Saudi Arabia,App,WOMEN,LE SPECS,SUNGLASSES,222.22
"Aug 7, 2025, 3:44:12 PM",APPORKWT80036007586247,DH40,Returning,Kuwait,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",NEW BALANCE,SNEAKERS,559.25
"Aug 7, 2025, 3:00:31 PM",APPORKSA80034007586066,KYF,Returning,Saudi Arabia,App,MEN,BIRKENSTOCK,SLIPPERS,666.64
"Aug 7, 2025, 2:30:45 PM",APPENKSA80033007585840,KYF,Returning,Saudi Arabia,App,MEN,MCM,POUCHES,2038.25
"Aug 7, 2025, 12:28:11 PM",APPENUAE80031007585184,DH33,NEW,United Arab Emirates,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",RAINS,BACKPACKS,282.86
"Aug 7, 2025, 12:03:50 PM",APPORKSA80034007585097,KYF,NEW,Saudi Arabia,App,WOMEN,ASICS,SNEAKERS,567.03
