Action Date,Action Id,Brand,Event Type,Status,Sale Amount,Action Earnings,Promo Code,SharedId
2025-07-07 19:55:07,M.15608.6397.253642,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,29.99,3.0000,D26,
2025-07-07 19:37:45,M.15608.6397.236696,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.36,10.4400,SAHS15,
2025-07-07 19:02:49,M.15608.6397.205630,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.36,10.4400,SAHS15,
2025-07-07 16:33:30,M.15608.6397.96687,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.79,1.5800,D26,
2025-07-07 15:08:48,M.15608.6397.57669,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,28.41,2.8400,SAHS,
2025-07-07 13:11:06,M.15608.6397.21801,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.21,1.4200,SAHS,
2025-07-07 07:17:05,M.15608.6396.1044415,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.36,10.4400,SAHS15,
2025-07-07 03:39:33,M.15608.6396.873216,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.36,10.4400,SAHS15,
2025-07-07 02:56:41,M.15608.6396.841510,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,37.88,3.7900,D26,
2025-07-07 02:42:21,M.15608.6396.830541,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,31.57,3.1600,D26,
