Order Date (Full date),Order Date (Month),Coupon,Coupon Description,Order id,Country,Currency,Subtotal,Order Discount,Order Return,Status Of Order,Order Return Value,Payment Method
"11 Aug, 2025 08:30:44",August,MNN27,Imported from file DigiZag Bidding Codes.xlsx,YVJ194848,Kingdom of Saudi Arabia,,290,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"11 Aug, 2025 08:12:39",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,PHU241207,UAE,,99,9.9,0,Delivered,0,"Credit, Debit , Apple Pay"
"11 Aug, 2025 05:10:32",August,CC22,Imported from file Digizag.xlsx,BYY838630,Kuwait,KD,28.56,2.856,0,Delivered,0,"Credit, Debit, Knet"
"10 Aug, 2025 20:26:40",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,HUE435521,UAE,,266.8,26.68,0,Delivered,0,"Credit, Debit , Apple Pay"
"10 Aug, 2025 18:18:32",August,DG10,DigiZag,PMC960301,UAE,,108,10.8,0,Delivered,0,"Credit, Debit , Apple Pay"
"10 Aug, 2025 16:34:32",August,MNN27,Imported from file DigiZag Bidding Codes.xlsx,WGZ660620,Kingdom of Saudi Arabia,,60,15,0,Delivered,0,"Credit, Debit, Apple Pay"
"10 Aug, 2025 16:22:04",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,KKJ390194,Kingdom of Saudi Arabia,,81.95,20.48,0,Delivered,0,"Credit, Debit, Apple Pay"
"10 Aug, 2025 15:56:08",August,SS24,Imported from file DigiZag 25Feb25Codes2.xlsx,WGR995921,Kuwait,KD,10.25,1.025,1,Partially Cancelled,8.370000000000001,"Credit, Debit, Knet"
"10 Aug, 2025 14:47:51",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,YMS422405,UAE,,268,26.8,0,Delivered,0,Cash
"10 Aug, 2025 14:36:03",August,MNN27,Imported from file DigiZag Codes 25Feb25.xlsx,ZJG412804,Bahrain,BHD,35.61,3.55,0,Delivered,0,"Credit, Debit"
"10 Aug, 2025 13:16:35",August,ZM22,Imported from file Digizag.xlsx,XJA950027,UAE,,167,16.7,0,Delivered,0,"Credit, Debit , Apple Pay"
"10 Aug, 2025 12:44:44",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,HEL948369,Kuwait,KD,13.9,1.39,0,Delivered,0,Cash
"10 Aug, 2025 09:17:08",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,PMD322332,Kingdom of Saudi Arabia,,192.48,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"10 Aug, 2025 08:52:15",August,SS27,Imported from file DigiZag 25Feb25Codes2.xlsx,GJN544341,Kingdom of Saudi Arabia,,233.91,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"10 Aug, 2025 07:49:27",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,HWC385833,UAE,,268,26.8,0,Delivered,0,"Credit, Debit , Apple Pay"
"10 Aug, 2025 07:06:57",August,MNN27,Imported from file DigiZag Codes 25Feb25.xlsx,RRN261743,UAE,,287.5,28.75,0,Delivered,0,Cash
"09 Aug, 2025 15:45:18",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,RWM531899,Kingdom of Saudi Arabia,,51.3,12.82,0,Delivered,0,"Credit, Debit, Apple Pay"
"09 Aug, 2025 14:32:54",August,MNN27,Imported from file DigiZag Codes 25Feb25.xlsx,RAW285959,Kuwait,KD,19.6,1.96,0,Delivered,0,"Credit, Debit, Knet"
"09 Aug, 2025 12:52:35",August,SS27,Imported from file DigiZag 25Feb25Codes2.xlsx,URX695963,Kingdom of Saudi Arabia,,216.52,30,1,Cancelled,186.52,"Credit, Debit, Apple Pay"
"09 Aug, 2025 12:48:00",August,DG10,Imported from file Digizag.xlsx,KGS829783,Kingdom of Saudi Arabia,,81.94,20.48,0,Delivered,0,"Credit, Debit, Apple Pay"
"09 Aug, 2025 12:06:28",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,LPG557771,UAE,,1319.5,131.95,0,Delivered,0,"Tamara: split in 3, interest-free"
"09 Aug, 2025 11:02:47",August,SS27,Imported from file DigiZag 25Feb25Codes2.xlsx,LGJ265302,Kuwait,KD,15.9,1.59,0,Delivered,0,"Credit, Debit, Knet"
"09 Aug, 2025 10:58:40",August,SS24,Imported from file DigiZag 25Feb25Codes2.xlsx,LVM775229,Kuwait,KD,14.95,1.495,0,Delivered,0,"Credit, Debit, Knet"
"09 Aug, 2025 10:28:10",August,SS24,Imported from file DigiZag 25Feb25Codes2.xlsx,DTJ829205,UAE,,220,22,0,Delivered,0,"Credit, Debit , Apple Pay"
"09 Aug, 2025 09:06:20",August,MNN27,Imported from file DigiZag Bidding Codes.xlsx,NSZ109498,Kingdom of Saudi Arabia,,169,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"09 Aug, 2025 05:34:47",August,DG10,Imported from file Digizag.xlsx,JCH723439,Kingdom of Saudi Arabia,,466,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"08 Aug, 2025 22:42:34",August,DG10,DigiZag,AKC498431,Kuwait,KD,16,1.6,0,Delivered,0,Cash
"08 Aug, 2025 14:55:09",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,KRU735836,Kingdom of Saudi Arabia,,145.22,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"08 Aug, 2025 13:24:07",August,SS28,Imported from file DigiZag 25Feb25Codes2.xlsx,GUG214086,Bahrain,BHD,11.27,1.12,0,Delivered,0,Cash
"08 Aug, 2025 11:06:08",August,SS24,Imported from file DigiZag 25Feb25Codes2.xlsx,NMU801158,Kingdom of Saudi Arabia,,190,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"08 Aug, 2025 10:00:35",August,CC22,Imported from file Digizag.xlsx,LUR926425,Kingdom of Saudi Arabia,,102.5,25.62,0,Delivered,0,"Tamara: Split in 3, interest-free"
"08 Aug, 2025 09:58:08",August,CC22,Imported from file Digizag.xlsx,JHG704062,Kingdom of Saudi Arabia,,338.3,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"08 Aug, 2025 08:56:48",August,JM,DigiZag,XHP101639,UAE,,189,18.9,0,Delivered,0,"Credit, Debit , Apple Pay"
"08 Aug, 2025 08:39:43",August,JM,DigiZag,ALW580468,UAE,,229,22.9,0,Delivered,0,Cash
"08 Aug, 2025 02:06:12",August,SS27,Imported from file DigiZag 25Feb25Codes2.xlsx,DVJ788866,Kingdom of Saudi Arabia,,217,30,0,Delivered,0,"Credit, Debit, Apple Pay"
